record_id,model,condition,gold_family,gold_count,candidate_count,exact_recall@5,core_recall@5,component_identical_recall@5,matched_recall@5_tau80,matched_recall@5_tau90,exact_recovered,core_recovered,component_identical_recovered,matched_recovered_tau80,matched_recovered_tau90,elapsed_seconds,prompt_tokens,generated_tokens,total_tokens
nvbench2:dev:34,gemma3:27b,direct_rich,point,2,1,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,3.380529417000048,351,25,376
nvbench2:dev:35,gemma3:27b,direct_rich,bar+line+point+rect,4,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.790470916999993,354,60,414
nvbench2:dev:39,gemma3:27b,direct_rich,arc,3,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.675754624999968,459,42,501
nvbench2:dev:40,gemma3:27b,direct_rich,rect,4,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.8583803749999106,445,27,472
nvbench2:dev:41,gemma3:27b,direct_rich,arc,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.955398833000004,452,74,526
nvbench2:dev:48,gemma3:27b,direct_rich,arc,2,2,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,4.634220583999991,375,52,427
nvbench2:dev:49,gemma3:27b,direct_rich,line,2,2,0.0,0.0,0.0,0.5,0.0,0,0,0,1,0,4.587678291999964,373,50,423
nvbench2:dev:51,gemma3:27b,direct_rich,bar,5,2,0.0,0.0,0.0,0.2,0.2,0,0,0,1,1,6.120103416999996,383,81,464
nvbench2:dev:54,gemma3:27b,direct_rich,bar,2,1,0.0,0.0,0.0,0.5,0.0,0,0,0,1,0,4.0069634999999835,393,34,427
nvbench2:dev:57,gemma3:27b,direct_rich,rect,3,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.991437292000114,391,35,426
nvbench2:dev:61,gemma3:27b,direct_rich,arc,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.664586750000126,426,46,472
nvbench2:dev:63,gemma3:27b,direct_rich,arc,5,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,6.132188458999963,423,74,497
nvbench2:dev:68,gemma3:27b,direct_rich,arc,2,3,0.0,0.0,0.0,0.5,0.0,0,0,0,1,0,6.038707166999984,446,73,519
nvbench2:dev:72,gemma3:27b,direct_rich,arc,2,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,11.098479374999897,558,158,716
nvbench2:dev:73,gemma3:27b,direct_rich,arc,2,3,0.0,0.0,0.0,0.5,0.0,0,0,0,1,0,7.250762833999943,550,89,639
nvbench2:dev:76,gemma3:27b,direct_rich,bar,5,3,0.0,0.0,0.0,0.2,0.0,0,0,0,1,0,8.22790074999989,562,102,664
